Corpus	Graphe	seeAlso	dcterms_license	dcterms_rightsHolder	Description_en
Springer Journals ISTEX (origines-1996)	http://hub.abes.fr/ejournals/springer	https://www.licencesnationales.fr/liste-ressource/springer-2/	https://www.licencesnationales.fr/wp-content/uploads/Licence_Nationale_Springer_OJA_07_2011.pdf	http://www.idref.fr/033702462/id	
BMJ Journals ISTEX (origines-2013)	http://hub.abes.fr/ejournals/jats/bmj	https://www.licencesnationales.fr/liste-ressource/british-medical-journal-revues/	https://www.etalab.gouv.fr/licence-ouverte-open-licence	http://www.idref.fr/033702462/id	
OUP Journals ISTEX (origines-2010)	http://hub.abes.fr/ejournals/jats/oup	https://www.licencesnationales.fr/liste-ressource/oxford-university-press-revues/	https://www.etalab.gouv.fr/licence-ouverte-open-licence	http://www.idref.fr/033702462/id	
CUP Journals ISTEX (origines-2010)	http://hub.abes.fr/ejournals/jats/cup	https://www.licencesnationales.fr/liste-ressource/cambridge-university-press-revues/	https://www.etalab.gouv.fr/licence-ouverte-open-licence	http://www.idref.fr/033702462/id	
CUP Journals ISTEX (origines-2010) - Abstracts	http://hub.abes.fr/ejournals/jats/cup/abstracts	https://www.licencesnationales.fr/liste-ressource/cambridge-university-press-revues/	https://creativecommons.org/licenses/by-nc/3.0/	http://www.idref.fr/033702462/id	
EDP Journals ISTEX (origines-2017)	http://hub.abes.fr/ejournals/jats/edp	https://www.licencesnationales.fr/liste-ressource/edp-sciences-revues/	https://www.etalab.gouv.fr/licence-ouverte-open-licence	http://www.idref.fr/033702462/id	
ACS Journals ISTEX (origines-2008)	http://hub.abes.fr/ejournals/jats/acs/20210319	https://www.licencesnationales.fr/liste-ressource/american-chemical-society/	https://www.etalab.gouv.fr/licence-ouverte-open-licence	http://www.idref.fr/033702462/id	
ACS Journals ISTEX (origines-2008) - Abstracts	http://hub.abes.fr/ejournals/jats/acs/20210319/abstracts	https://www.licencesnationales.fr/liste-ressource/american-chemical-society/	https://creativecommons.org/licenses/by-nc/3.0/	http://www.idref.fr/033702462/id		
Cairn journals	http://hub.abes.fr/ejournals/cairn	https://www.cairn.info/listerev.php	https://www.etalab.gouv.fr/licence-ouverte-open-licence	http://www.idref.fr/033702462/id	
JEL classification system (Journal of Economic Literature classification system)	http://hub.abes.fr/referentiel/jel	http://linkeddatacatalog.dws.informatik.uni-mannheim.de/fr/dataset/jel-classification/resource/321904c4-74ca-4d2c-aef2-fab9f8822fb3			The JEL classification system was developed for use in the Journal of Economic Literature (JEL), and is a standard method of classifying scholarly literature in the field of economics.
MSC2010 classification (Mathematics Subject Classification)	http://hub.abes.fr/referentiel/msc2010-expanded	http://msc2010.org/resources/MSC/2010/info/			
Springer subject classification (PMC)	http://hub.abes.fr/referentiel/springer/product_market_codes	https://sn-scigraph.figshare.com/articles/dataset/Taxonomy_Product_Market_Codes/7376447			The Product Market Codes Taxonomy is a subject classification scheme used for classifying, grouping, and indexing content published by Springer Nature.
